<org.prevayler.demos.scalability.prevayler.PrevalenceTest: void deleteDirectoryContents(java.io.File)>
<org.prevayler.implementation.publishing.censorship.StrictTransactionCensor: void produceNewFoodTaster(long)>
<org.prevayler.foundation.gzip.NonCloseableOutputStream: void <init>(java.io.OutputStream)>
<org.prevayler.demos.scalability.Main: void <clinit>()>
<org.prevayler.foundation.gzip.NonCloseableOutputStream: void close()>
<org.prevayler.demos.scalability.Main: void <init>()>
<org.prevayler.foundation.gzip.NonCloseableOutputStream: void flush()>
<org.prevayler.demos.scalability.Main: void main(java.lang.String[])>
<org.prevayler.foundation.gzip.NonCloseableOutputStream: void write(int)>
<org.prevayler.foundation.gzip.NonCloseableOutputStream: void write(byte[])>
<org.prevayler.foundation.gzip.NonCloseableOutputStream: void write(byte[],int,int)>
<org.prevayler.demos.demo2.MainReplicaServer: void <init>()>
<org.prevayler.demos.demo2.MainReplicaServer: void main(java.lang.String[])>
<org.prevayler.demos.demo2.MainReplicaServer: void out(java.lang.String)>
<org.prevayler.demos.scalability.TransactionConnection: void performTransaction(org.prevayler.demos.scalability.Record,org.prevayler.demos.scalability.Record,long)>
<org.prevayler.foundation.network.OldNetworkImpl: void <init>()>
<org.prevayler.foundation.network.OldNetworkImpl: org.prevayler.foundation.network.ObjectSocket openSocket(java.lang.String,int)>
<org.prevayler.demos.scalability.Main: void runPrevaylerQuery()>
<org.prevayler.demos.scalability.Main: void runPrevaylerTransaction()>
<org.prevayler.foundation.network.OldNetworkImpl: org.prevayler.foundation.network.ObjectServerSocket openObjectServerSocket(int)>
<org.prevayler.demos.demo2.business.BankListener: void accountCreated(org.prevayler.demos.demo2.business.Account)>
<org.prevayler.demos.demo2.business.BankListener: void accountDeleted(org.prevayler.demos.demo2.business.Account)>
<org.prevayler.demos.demo2.MainTransient: void <init>()>
<org.prevayler.demos.demo2.MainTransient: void main(java.lang.String[])>
<org.prevayler.demos.scalability.Main: void runJdbcQuery()>
<org.prevayler.demos.demo2.MainTransient: void out(java.lang.String)>
<org.prevayler.demos.scalability.Main: void runJdbcTransaction()>
